release_id,repository_name,predicted_probability,risk_tier,top_driver_1,top_driver_2,top_driver_3,recommendation_1,recommendation_2,recommendation_3
261719477,kubernetes/kubernetes,0.34618424843930135,High,"repo_microsoft/vscode (contribution=0.000): Repository identity itself (microsoft/vscode vs. the baseline, apache/airflow) contributes to this prediction.","repo_kubernetes/kubernetes (contribution=0.000): Repository identity itself (kubernetes/kubernetes vs. the baseline, apache/airflow) contributes to this prediction.",,Interpret cautiously -- see repo_kubernetes/kubernetes recommendation; the same caveat about repository-specific reversals applies.,"Interpret cautiously -- confirmed statistically significant as a joint effect, but this project also found this repository's true risk direction can reverse once other features are controlled for (a Simpson's-paradox-style finding); do not treat repository identity alone as a strong signal.",
261726406,kubernetes/kubernetes,0.3744877871761112,High,had_pr_activity (contribution=0.034): Whether any human PR activity was observed in this release's cycle at all.,had_commit_activity (contribution=0.016): Whether any human commit activity was observed in this release's cycle at all.,pct_merged (contribution=0.006): The share of this cycle's PRs that were merged (vs. closed unmerged) is unusually high or low.,"N/A -- structural flag, not independently actionable.","N/A -- structural flag, not independently actionable.",A low merge rate paired with elevated risk may indicate churn or disagreement during review; investigate closed-unmerged PRs for recurring concerns.
268945625,kubernetes/kubernetes,0.37706716542499813,High,pct_merged (contribution=0.014): The share of this cycle's PRs that were merged (vs. closed unmerged) is unusually high or low.,first_time_contributor_count (contribution=0.010): This release involved an unusually high number of first-time contributors.,"first_time_contributor_share (contribution=0.009): Same signal as first_time_contributor_count, expressed as a share of all contributors.",A low merge rate paired with elevated risk may indicate churn or disagreement during review; investigate closed-unmerged PRs for recurring concerns.,"Consider additional review scrutiny specifically on first-time contributors' changes, given this project's confirmed (though not fully independent of other factors) association between contributor turnover and elevated risk.",See first_time_contributor_count recommendation.
268945810,kubernetes/kubernetes,0.37374312632951673,High,had_pr_activity (contribution=0.034): Whether any human PR activity was observed in this release's cycle at all.,had_commit_activity (contribution=0.016): Whether any human commit activity was observed in this release's cycle at all.,pct_merged (contribution=0.006): The share of this cycle's PRs that were merged (vs. closed unmerged) is unusually high or low.,"N/A -- structural flag, not independently actionable.","N/A -- structural flag, not independently actionable.",A low merge rate paired with elevated risk may indicate churn or disagreement during review; investigate closed-unmerged PRs for recurring concerns.
270894952,kubernetes/kubernetes,0.3616218420964479,High,pct_merged (contribution=0.010): The share of this cycle's PRs that were merged (vs. closed unmerged) is unusually high or low.,"first_time_contributor_share (contribution=0.001): Same signal as first_time_contributor_count, expressed as a share of all contributors.","repo_microsoft/vscode (contribution=0.000): Repository identity itself (microsoft/vscode vs. the baseline, apache/airflow) contributes to this prediction.",A low merge rate paired with elevated risk may indicate churn or disagreement during review; investigate closed-unmerged PRs for recurring concerns.,See first_time_contributor_count recommendation.,Interpret cautiously -- see repo_kubernetes/kubernetes recommendation; the same caveat about repository-specific reversals applies.
271217654,kubernetes/kubernetes,0.35735445635403784,High,pct_merged (contribution=0.024): The share of this cycle's PRs that were merged (vs. closed unmerged) is unusually high or low.,"repo_microsoft/vscode (contribution=0.000): Repository identity itself (microsoft/vscode vs. the baseline, apache/airflow) contributes to this prediction.","repo_kubernetes/kubernetes (contribution=0.000): Repository identity itself (kubernetes/kubernetes vs. the baseline, apache/airflow) contributes to this prediction.",A low merge rate paired with elevated risk may indicate churn or disagreement during review; investigate closed-unmerged PRs for recurring concerns.,Interpret cautiously -- see repo_kubernetes/kubernetes recommendation; the same caveat about repository-specific reversals applies.,"Interpret cautiously -- confirmed statistically significant as a joint effect, but this project also found this repository's true risk direction can reverse once other features are controlled for (a Simpson's-paradox-style finding); do not treat repository identity alone as a strong signal."
284969517,kubernetes/kubernetes,0.4008520417441623,High,first_time_contributor_count (contribution=0.059): This release involved an unusually high number of first-time contributors.,commit_count (contribution=0.023): The volume of commits before this release is unusually high or low.,"first_time_contributor_share (contribution=0.021): Same signal as first_time_contributor_count, expressed as a share of all contributors.","Consider additional review scrutiny specifically on first-time contributors' changes, given this project's confirmed (though not fully independent of other factors) association between contributor turnover and elevated risk.","A very high commit count (a large release) may warrant proportionally more testing time; a very low count paired with elevated risk may indicate the release was small but touched a disproportionately risky area of the codebase -- review change scope, not just change volume.",See first_time_contributor_count recommendation.
284969888,kubernetes/kubernetes,0.3681261716022741,High,had_pr_activity (contribution=0.034): Whether any human PR activity was observed in this release's cycle at all.,had_commit_activity (contribution=0.016): Whether any human commit activity was observed in this release's cycle at all.,pct_merged (contribution=0.006): The share of this cycle's PRs that were merged (vs. closed unmerged) is unusually high or low.,"N/A -- structural flag, not independently actionable.","N/A -- structural flag, not independently actionable.",A low merge rate paired with elevated risk may indicate churn or disagreement during review; investigate closed-unmerged PRs for recurring concerns.
284970046,kubernetes/kubernetes,0.36785431727692564,High,had_pr_activity (contribution=0.034): Whether any human PR activity was observed in this release's cycle at all.,had_commit_activity (contribution=0.016): Whether any human commit activity was observed in this release's cycle at all.,pct_merged (contribution=0.006): The share of this cycle's PRs that were merged (vs. closed unmerged) is unusually high or low.,"N/A -- structural flag, not independently actionable.","N/A -- structural flag, not independently actionable.",A low merge rate paired with elevated risk may indicate churn or disagreement during review; investigate closed-unmerged PRs for recurring concerns.
284970301,kubernetes/kubernetes,0.36758259868505216,High,had_pr_activity (contribution=0.034): Whether any human PR activity was observed in this release's cycle at all.,had_commit_activity (contribution=0.016): Whether any human commit activity was observed in this release's cycle at all.,pct_merged (contribution=0.006): The share of this cycle's PRs that were merged (vs. closed unmerged) is unusually high or low.,"N/A -- structural flag, not independently actionable.","N/A -- structural flag, not independently actionable.",A low merge rate paired with elevated risk may indicate churn or disagreement during review; investigate closed-unmerged PRs for recurring concerns.
291155487,kubernetes/kubernetes,0.36937724507456393,High,first_time_contributor_count (contribution=0.010): This release involved an unusually high number of first-time contributors.,pct_merged (contribution=0.009): The share of this cycle's PRs that were merged (vs. closed unmerged) is unusually high or low.,distinct_contributors (contribution=0.008): The number of distinct people committing before this release is unusually high or low.,"Consider additional review scrutiny specifically on first-time contributors' changes, given this project's confirmed (though not fully independent of other factors) association between contributor turnover and elevated risk.",A low merge rate paired with elevated risk may indicate churn or disagreement during review; investigate closed-unmerged PRs for recurring concerns.,A low distinct-contributor count concentrates release risk on fewer people's work; consider an additional independent review pass.
291155910,kubernetes/kubernetes,0.36577948439076313,High,had_pr_activity (contribution=0.034): Whether any human PR activity was observed in this release's cycle at all.,had_commit_activity (contribution=0.016): Whether any human commit activity was observed in this release's cycle at all.,pct_merged (contribution=0.006): The share of this cycle's PRs that were merged (vs. closed unmerged) is unusually high or low.,"N/A -- structural flag, not independently actionable.","N/A -- structural flag, not independently actionable.",A low merge rate paired with elevated risk may indicate churn or disagreement during review; investigate closed-unmerged PRs for recurring concerns.
291156076,kubernetes/kubernetes,0.3655084010534443,High,had_pr_activity (contribution=0.034): Whether any human PR activity was observed in this release's cycle at all.,had_commit_activity (contribution=0.016): Whether any human commit activity was observed in this release's cycle at all.,pct_merged (contribution=0.006): The share of this cycle's PRs that were merged (vs. closed unmerged) is unusually high or low.,"N/A -- structural flag, not independently actionable.","N/A -- structural flag, not independently actionable.",A low merge rate paired with elevated risk may indicate churn or disagreement during review; investigate closed-unmerged PRs for recurring concerns.
291157965,kubernetes/kubernetes,0.36523790538785694,High,had_pr_activity (contribution=0.034): Whether any human PR activity was observed in this release's cycle at all.,had_commit_activity (contribution=0.016): Whether any human commit activity was observed in this release's cycle at all.,pct_merged (contribution=0.006): The share of this cycle's PRs that were merged (vs. closed unmerged) is unusually high or low.,"N/A -- structural flag, not independently actionable.","N/A -- structural flag, not independently actionable.",A low merge rate paired with elevated risk may indicate churn or disagreement during review; investigate closed-unmerged PRs for recurring concerns.
298764997,kubernetes/kubernetes,0.37375314719418706,High,first_time_contributor_count (contribution=0.015): This release involved an unusually high number of first-time contributors.,commit_count (contribution=0.015): The volume of commits before this release is unusually high or low.,distinct_contributors (contribution=0.013): The number of distinct people committing before this release is unusually high or low.,"Consider additional review scrutiny specifically on first-time contributors' changes, given this project's confirmed (though not fully independent of other factors) association between contributor turnover and elevated risk.","A very high commit count (a large release) may warrant proportionally more testing time; a very low count paired with elevated risk may indicate the release was small but touched a disproportionately risky area of the codebase -- review change scope, not just change volume.",A low distinct-contributor count concentrates release risk on fewer people's work; consider an additional independent review pass.
298765256,kubernetes/kubernetes,0.3512973048384264,High,had_pr_activity (contribution=0.034): Whether any human PR activity was observed in this release's cycle at all.,pct_merged (contribution=0.006): The share of this cycle's PRs that were merged (vs. closed unmerged) is unusually high or low.,"repo_microsoft/vscode (contribution=0.000): Repository identity itself (microsoft/vscode vs. the baseline, apache/airflow) contributes to this prediction.","N/A -- structural flag, not independently actionable.",A low merge rate paired with elevated risk may indicate churn or disagreement during review; investigate closed-unmerged PRs for recurring concerns.,Interpret cautiously -- see repo_kubernetes/kubernetes recommendation; the same caveat about repository-specific reversals applies.
298765484,kubernetes/kubernetes,0.3630374983308745,High,had_pr_activity (contribution=0.034): Whether any human PR activity was observed in this release's cycle at all.,had_commit_activity (contribution=0.016): Whether any human commit activity was observed in this release's cycle at all.,pct_merged (contribution=0.006): The share of this cycle's PRs that were merged (vs. closed unmerged) is unusually high or low.,"N/A -- structural flag, not independently actionable.","N/A -- structural flag, not independently actionable.",A low merge rate paired with elevated risk may indicate churn or disagreement during review; investigate closed-unmerged PRs for recurring concerns.
309580337,kubernetes/kubernetes,0.3692635460624402,High,pct_merged (contribution=0.018): The share of this cycle's PRs that were merged (vs. closed unmerged) is unusually high or low.,first_time_contributor_count (contribution=0.016): This release involved an unusually high number of first-time contributors.,distinct_contributors (contribution=0.008): The number of distinct people committing before this release is unusually high or low.,A low merge rate paired with elevated risk may indicate churn or disagreement during review; investigate closed-unmerged PRs for recurring concerns.,"Consider additional review scrutiny specifically on first-time contributors' changes, given this project's confirmed (though not fully independent of other factors) association between contributor turnover and elevated risk.",A low distinct-contributor count concentrates release risk on fewer people's work; consider an additional independent review pass.
309580521,kubernetes/kubernetes,0.361086388947739,High,had_pr_activity (contribution=0.034): Whether any human PR activity was observed in this release's cycle at all.,had_commit_activity (contribution=0.016): Whether any human commit activity was observed in this release's cycle at all.,pct_merged (contribution=0.006): The share of this cycle's PRs that were merged (vs. closed unmerged) is unusually high or low.,"N/A -- structural flag, not independently actionable.","N/A -- structural flag, not independently actionable.",A low merge rate paired with elevated risk may indicate churn or disagreement during review; investigate closed-unmerged PRs for recurring concerns.
309580713,kubernetes/kubernetes,0.36081680754177003,High,had_pr_activity (contribution=0.034): Whether any human PR activity was observed in this release's cycle at all.,had_commit_activity (contribution=0.016): Whether any human commit activity was observed in this release's cycle at all.,pct_merged (contribution=0.006): The share of this cycle's PRs that were merged (vs. closed unmerged) is unusually high or low.,"N/A -- structural flag, not independently actionable.","N/A -- structural flag, not independently actionable.",A low merge rate paired with elevated risk may indicate churn or disagreement during review; investigate closed-unmerged PRs for recurring concerns.
312368266,kubernetes/kubernetes,0.3514180479108725,High,pct_merged (contribution=0.017): The share of this cycle's PRs that were merged (vs. closed unmerged) is unusually high or low.,top_contributor_share (contribution=0.002): This release's commits were unusually concentrated in (or spread across) a small number of contributors.,"repo_microsoft/vscode (contribution=0.000): Repository identity itself (microsoft/vscode vs. the baseline, apache/airflow) contributes to this prediction.",A low merge rate paired with elevated risk may indicate churn or disagreement during review; investigate closed-unmerged PRs for recurring concerns.,High concentration in one contributor increases bus-factor risk; consider pairing or review redundancy for that contributor's changes.,Interpret cautiously -- see repo_kubernetes/kubernetes recommendation; the same caveat about repository-specific reversals applies.
321191052,kubernetes/kubernetes,0.3663795730524543,High,first_time_contributor_count (contribution=0.013): This release involved an unusually high number of first-time contributors.,pct_merged (contribution=0.011): The share of this cycle's PRs that were merged (vs. closed unmerged) is unusually high or low.,distinct_contributors (contribution=0.008): The number of distinct people committing before this release is unusually high or low.,"Consider additional review scrutiny specifically on first-time contributors' changes, given this project's confirmed (though not fully independent of other factors) association between contributor turnover and elevated risk.",A low merge rate paired with elevated risk may indicate churn or disagreement during review; investigate closed-unmerged PRs for recurring concerns.,A low distinct-contributor count concentrates release risk on fewer people's work; consider an additional independent review pass.
321243963,kubernetes/kubernetes,0.3451961851921141,High,pct_merged (contribution=0.026): The share of this cycle's PRs that were merged (vs. closed unmerged) is unusually high or low.,avg_time_to_merge_hours (contribution=0.006): Pull requests before this release merged unusually quickly or slowly on average.,"median_time_to_merge_hours (contribution=0.003): Same signal as avg_time_to_merge_hours, less sensitive to a few outlier PRs.",A low merge rate paired with elevated risk may indicate churn or disagreement during review; investigate closed-unmerged PRs for recurring concerns.,Very fast merging paired with elevated risk may indicate reduced review scrutiny; consider a second reviewer pass on the highest-impact changes before shipping.,See avg_time_to_merge_hours recommendation.
321245106,kubernetes/kubernetes,0.35855490314125205,High,had_pr_activity (contribution=0.034): Whether any human PR activity was observed in this release's cycle at all.,had_commit_activity (contribution=0.016): Whether any human commit activity was observed in this release's cycle at all.,pct_merged (contribution=0.006): The share of this cycle's PRs that were merged (vs. closed unmerged) is unusually high or low.,"N/A -- structural flag, not independently actionable.","N/A -- structural flag, not independently actionable.",A low merge rate paired with elevated risk may indicate churn or disagreement during review; investigate closed-unmerged PRs for recurring concerns.
321280531,kubernetes/kubernetes,0.3353321672370495,High,avg_time_to_merge_hours (contribution=0.003): Pull requests before this release merged unusually quickly or slowly on average.,"repo_microsoft/vscode (contribution=0.000): Repository identity itself (microsoft/vscode vs. the baseline, apache/airflow) contributes to this prediction.","repo_kubernetes/kubernetes (contribution=0.000): Repository identity itself (kubernetes/kubernetes vs. the baseline, apache/airflow) contributes to this prediction.",Very fast merging paired with elevated risk may indicate reduced review scrutiny; consider a second reviewer pass on the highest-impact changes before shipping.,Interpret cautiously -- see repo_kubernetes/kubernetes recommendation; the same caveat about repository-specific reversals applies.,"Interpret cautiously -- confirmed statistically significant as a joint effect, but this project also found this repository's true risk direction can reverse once other features are controlled for (a Simpson's-paradox-style finding); do not treat repository identity alone as a strong signal."
338534286,kubernetes/kubernetes,0.3660596936254631,High,pct_merged (contribution=0.014): The share of this cycle's PRs that were merged (vs. closed unmerged) is unusually high or low.,first_time_contributor_count (contribution=0.011): This release involved an unusually high number of first-time contributors.,commit_count (contribution=0.011): The volume of commits before this release is unusually high or low.,A low merge rate paired with elevated risk may indicate churn or disagreement during review; investigate closed-unmerged PRs for recurring concerns.,"Consider additional review scrutiny specifically on first-time contributors' changes, given this project's confirmed (though not fully independent of other factors) association between contributor turnover and elevated risk.","A very high commit count (a large release) may warrant proportionally more testing time; a very low count paired with elevated risk may indicate the release was small but touched a disproportionately risky area of the codebase -- review change scope, not just change volume."
338534516,kubernetes/kubernetes,0.3563204613428905,High,had_pr_activity (contribution=0.034): Whether any human PR activity was observed in this release's cycle at all.,had_commit_activity (contribution=0.016): Whether any human commit activity was observed in this release's cycle at all.,pct_merged (contribution=0.006): The share of this cycle's PRs that were merged (vs. closed unmerged) is unusually high or low.,"N/A -- structural flag, not independently actionable.","N/A -- structural flag, not independently actionable.",A low merge rate paired with elevated risk may indicate churn or disagreement during review; investigate closed-unmerged PRs for recurring concerns.
338535372,kubernetes/kubernetes,0.356052522435696,High,had_pr_activity (contribution=0.034): Whether any human PR activity was observed in this release's cycle at all.,had_commit_activity (contribution=0.016): Whether any human commit activity was observed in this release's cycle at all.,pct_merged (contribution=0.006): The share of this cycle's PRs that were merged (vs. closed unmerged) is unusually high or low.,"N/A -- structural flag, not independently actionable.","N/A -- structural flag, not independently actionable.",A low merge rate paired with elevated risk may indicate churn or disagreement during review; investigate closed-unmerged PRs for recurring concerns.
338536321,kubernetes/kubernetes,0.3557846158023185,High,had_pr_activity (contribution=0.034): Whether any human PR activity was observed in this release's cycle at all.,had_commit_activity (contribution=0.016): Whether any human commit activity was observed in this release's cycle at all.,pct_merged (contribution=0.006): The share of this cycle's PRs that were merged (vs. closed unmerged) is unusually high or low.,"N/A -- structural flag, not independently actionable.","N/A -- structural flag, not independently actionable.",A low merge rate paired with elevated risk may indicate churn or disagreement during review; investigate closed-unmerged PRs for recurring concerns.
238719377,apache/airflow,0.4974442790148516,High,"open_bugs_at_release_repo_z (contribution=0.063): The pre-release open-bug backlog is unusually high or low relative to THIS REPOSITORY'S OWN typical level (a repo-normalized value, not a raw count -- see the raw open_bugs_at_release column for the actual count). NOTE: this relationship runs in OPPOSITE directions for microsoft/vscode versus kubernetes/kubernetes and apache/airflow -- confirm which repository this release belongs to before interpreting the direction.",first_time_contributor_count (contribution=0.029): This release involved an unusually high number of first-time contributors.,"first_time_contributor_share (contribution=0.017): Same signal as first_time_contributor_count, expressed as a share of all contributors.",For kubernetes/kubernetes or apache/airflow: a high backlog suggests unresolved technical debt risk -- consider prioritizing backlog triage before this release ships. For microsoft/vscode: a LOW backlog was associated with higher risk in this dataset -- investigate whether this reflects under-reporting rather than genuine stability before treating it as reassuring.,"Consider additional review scrutiny specifically on first-time contributors' changes, given this project's confirmed (though not fully independent of other factors) association between contributor turnover and elevated risk.",See first_time_contributor_count recommendation.
241324139,apache/airflow,0.4837809250851309,High,"open_bugs_at_release_repo_z (contribution=0.061): The pre-release open-bug backlog is unusually high or low relative to THIS REPOSITORY'S OWN typical level (a repo-normalized value, not a raw count -- see the raw open_bugs_at_release column for the actual count). NOTE: this relationship runs in OPPOSITE directions for microsoft/vscode versus kubernetes/kubernetes and apache/airflow -- confirm which repository this release belongs to before interpreting the direction.","release_sequence (contribution=0.006): This release's position in its repository's history is associated with elevated risk (a project-wide finding, strongest and most consistent signal across every analysis method used).",avg_time_to_merge_hours (contribution=0.004): Pull requests before this release merged unusually quickly or slowly on average.,For kubernetes/kubernetes or apache/airflow: a high backlog suggests unresolved technical debt risk -- consider prioritizing backlog triage before this release ships. For microsoft/vscode: a LOW backlog was associated with higher risk in this dataset -- investigate whether this reflects under-reporting rather than genuine stability before treating it as reassuring.,Cross-check against recent actual bug trends for this repository before relying heavily on this signal alone -- it partly reflects a documented training-period drift pattern that may not hold indefinitely (see the Target-Variable Definition document).,Very fast merging paired with elevated risk may indicate reduced review scrutiny; consider a second reviewer pass on the highest-impact changes before shipping.
243522727,apache/airflow,0.4784975906159413,High,"open_bugs_at_release_repo_z (contribution=0.065): The pre-release open-bug backlog is unusually high or low relative to THIS REPOSITORY'S OWN typical level (a repo-normalized value, not a raw count -- see the raw open_bugs_at_release column for the actual count). NOTE: this relationship runs in OPPOSITE directions for microsoft/vscode versus kubernetes/kubernetes and apache/airflow -- confirm which repository this release belongs to before interpreting the direction.","release_sequence (contribution=0.005): This release's position in its repository's history is associated with elevated risk (a project-wide finding, strongest and most consistent signal across every analysis method used).",avg_time_to_merge_hours (contribution=0.004): Pull requests before this release merged unusually quickly or slowly on average.,For kubernetes/kubernetes or apache/airflow: a high backlog suggests unresolved technical debt risk -- consider prioritizing backlog triage before this release ships. For microsoft/vscode: a LOW backlog was associated with higher risk in this dataset -- investigate whether this reflects under-reporting rather than genuine stability before treating it as reassuring.,Cross-check against recent actual bug trends for this repository before relying heavily on this signal alone -- it partly reflects a documented training-period drift pattern that may not hold indefinitely (see the Target-Variable Definition document).,Very fast merging paired with elevated risk may indicate reduced review scrutiny; consider a second reviewer pass on the highest-impact changes before shipping.
250088226,apache/airflow,0.506875584484749,High,"open_bugs_at_release_repo_z (contribution=0.074): The pre-release open-bug backlog is unusually high or low relative to THIS REPOSITORY'S OWN typical level (a repo-normalized value, not a raw count -- see the raw open_bugs_at_release column for the actual count). NOTE: this relationship runs in OPPOSITE directions for microsoft/vscode versus kubernetes/kubernetes and apache/airflow -- confirm which repository this release belongs to before interpreting the direction.",first_time_contributor_count (contribution=0.023): This release involved an unusually high number of first-time contributors.,commit_count (contribution=0.017): The volume of commits before this release is unusually high or low.,For kubernetes/kubernetes or apache/airflow: a high backlog suggests unresolved technical debt risk -- consider prioritizing backlog triage before this release ships. For microsoft/vscode: a LOW backlog was associated with higher risk in this dataset -- investigate whether this reflects under-reporting rather than genuine stability before treating it as reassuring.,"Consider additional review scrutiny specifically on first-time contributors' changes, given this project's confirmed (though not fully independent of other factors) association between contributor turnover and elevated risk.","A very high commit count (a large release) may warrant proportionally more testing time; a very low count paired with elevated risk may indicate the release was small but touched a disproportionately risky area of the codebase -- review change scope, not just change volume."
257461859,apache/airflow,0.5249213788663488,High,"open_bugs_at_release_repo_z (contribution=0.077): The pre-release open-bug backlog is unusually high or low relative to THIS REPOSITORY'S OWN typical level (a repo-normalized value, not a raw count -- see the raw open_bugs_at_release column for the actual count). NOTE: this relationship runs in OPPOSITE directions for microsoft/vscode versus kubernetes/kubernetes and apache/airflow -- confirm which repository this release belongs to before interpreting the direction.",first_time_contributor_count (contribution=0.051): This release involved an unusually high number of first-time contributors.,"first_time_contributor_share (contribution=0.027): Same signal as first_time_contributor_count, expressed as a share of all contributors.",For kubernetes/kubernetes or apache/airflow: a high backlog suggests unresolved technical debt risk -- consider prioritizing backlog triage before this release ships. For microsoft/vscode: a LOW backlog was associated with higher risk in this dataset -- investigate whether this reflects under-reporting rather than genuine stability before treating it as reassuring.,"Consider additional review scrutiny specifically on first-time contributors' changes, given this project's confirmed (though not fully independent of other factors) association between contributor turnover and elevated risk.",See first_time_contributor_count recommendation.
259964514,apache/airflow,0.4941806149754915,High,"open_bugs_at_release_repo_z (contribution=0.083): The pre-release open-bug backlog is unusually high or low relative to THIS REPOSITORY'S OWN typical level (a repo-normalized value, not a raw count -- see the raw open_bugs_at_release column for the actual count). NOTE: this relationship runs in OPPOSITE directions for microsoft/vscode versus kubernetes/kubernetes and apache/airflow -- confirm which repository this release belongs to before interpreting the direction.",avg_time_to_merge_hours (contribution=0.005): Pull requests before this release merged unusually quickly or slowly on average.,distinct_contributors (contribution=0.004): The number of distinct people committing before this release is unusually high or low.,For kubernetes/kubernetes or apache/airflow: a high backlog suggests unresolved technical debt risk -- consider prioritizing backlog triage before this release ships. For microsoft/vscode: a LOW backlog was associated with higher risk in this dataset -- investigate whether this reflects under-reporting rather than genuine stability before treating it as reassuring.,Very fast merging paired with elevated risk may indicate reduced review scrutiny; consider a second reviewer pass on the highest-impact changes before shipping.,A low distinct-contributor count concentrates release risk on fewer people's work; consider an additional independent review pass.
