repository_name,contributor identifier,first contribution date,number of contributions,release-cycle participation,author,is_bot,first_contribution_at,number_of_contributions,release_cycle_participation
microsoft/vscode,daviddossett,,506,,daviddossett,False,,506,
microsoft/vscode,dependabot[bot],,419,,dependabot[bot],True,,419,
microsoft/vscode,vritant24,,396,,vritant24,False,,396,
microsoft/vscode,pwang347,,372,,pwang347,False,,372,
microsoft/vscode,andreamah,,360,,andreamah,False,,360,
microsoft/vscode,kieferrm,,322,,kieferrm,False,,322,
microsoft/vscode,michelkaporin,,311,,michelkaporin,False,,311,
microsoft/vscode,dstorey,,310,,dstorey,False,,310,
microsoft/vscode,jeanp413,,304,,jeanp413,False,,304,
microsoft/vscode,digitarald,,289,,digitarald,False,,289,
microsoft/vscode,eli-w-king,,267,,eli-w-king,False,,267,
microsoft/vscode,egamma,,266,,egamma,False,,266,
microsoft/vscode,gjsjohnmurray,,264,,gjsjohnmurray,False,,264,
microsoft/vscode,zhichli,,229,,zhichli,False,,229,
microsoft/vscode,bryanchen-d,,226,,bryanchen-d,False,,226,
microsoft/vscode,kycutler,,221,,kycutler,False,,221,
microsoft/vscode,Yoyokrazy,,217,,Yoyokrazy,False,,217,
microsoft/vscode,anthonykim1,,190,,anthonykim1,False,,190,
microsoft/vscode,dileepyavan,,187,,dileepyavan,False,,187,
microsoft/vscode,SimonSiefke,,186,,SimonSiefke,False,,186,
microsoft/vscode,vijayupadya,,157,,vijayupadya,False,,157,
microsoft/vscode,vs-code-engineering[bot],,137,,vs-code-engineering[bot],False,,137,
microsoft/vscode,eleanorjboyd,,119,,eleanorjboyd,False,,119,
microsoft/vscode,cwebster-99,,116,,cwebster-99,False,,116,
microsoft/vscode,Giuspepe,,115,,Giuspepe,False,,115,
microsoft/vscode,Lixire,,109,,Lixire,False,,109,
microsoft/vscode,hawkticehurst,,96,,hawkticehurst,False,,96,
microsoft/vscode,bgashler1,,94,,bgashler1,False,,94,
microsoft/vscode,chrisdias,,88,,chrisdias,False,,88,
microsoft/vscode,usernamehw,,87,,usernamehw,False,,87,
microsoft/vscode,cleidigh,,86,,cleidigh,False,,86,
microsoft/vscode,benvillalobos,,77,,benvillalobos,False,,77,
microsoft/vscode,babakks,,73,,babakks,False,,73,
microsoft/vscode,Kalmaegi,,67,,Kalmaegi,False,,67,
microsoft/vscode,GabeDeBacker,,66,,GabeDeBacker,False,,66,
microsoft/vscode,jruales,,65,,jruales,False,,65,
microsoft/vscode,danyeh,,63,,danyeh,False,,63,
microsoft/vscode,Krzysztof-Cieslak,,60,,Krzysztof-Cieslak,False,,60,
microsoft/vscode,karthiknadig,,54,,karthiknadig,False,,54,
microsoft/vscode,Chuxel,,50,,Chuxel,False,,50,
microsoft/vscode,rchiodo,,50,,rchiodo,False,,50,
microsoft/vscode,cpendery,,50,,cpendery,False,,50,
microsoft/vscode,eamodio,,48,,eamodio,False,,48,
microsoft/vscode,ssigwart,,45,,ssigwart,False,,45,
microsoft/vscode,xisui-MSFT,,45,,xisui-MSFT,False,,45,
microsoft/vscode,Kingwl,,45,,Kingwl,False,,45,
microsoft/vscode,tsalinger,,40,,tsalinger,False,,40,
microsoft/vscode,rwoll,,39,,rwoll,False,,39,
microsoft/vscode,sandersn,,38,,sandersn,False,,38,
microsoft/vscode,ntrogh,,38,,ntrogh,False,,38,
microsoft/vscode,skprabhanjan,,38,,skprabhanjan,False,,38,
microsoft/vscode,solomatov,,37,,solomatov,False,,37,
microsoft/vscode,rianadon,,35,,rianadon,False,,35,
microsoft/vscode,SoloJiang,,34,,SoloJiang,False,,34,
microsoft/vscode,Ikuyadeu,,34,,Ikuyadeu,False,,34,
microsoft/vscode,andrewbranch,,33,,andrewbranch,False,,33,
microsoft/vscode,yiliang114,,32,,yiliang114,False,,32,
microsoft/vscode,keegancsmith,,31,,keegancsmith,False,,31,
microsoft/vscode,hbons,,31,,hbons,False,,31,
microsoft/vscode,24anisha,,31,,24anisha,False,,31,
microsoft/vscode,iansan5653,,30,,iansan5653,False,,30,
microsoft/vscode,pierceboggan,,29,,pierceboggan,False,,29,
microsoft/vscode,hun1ahpu,,29,,hun1ahpu,False,,29,
microsoft/vscode,nguyenchristy,,29,,nguyenchristy,False,,29,
microsoft/vscode,nrayburn-cyber,,28,,nrayburn-cyber,False,,28,
microsoft/vscode,a-stewart,,28,,a-stewart,False,,28,
microsoft/vscode,tamuratak,,27,,tamuratak,False,,27,
microsoft/vscode,flurmbo,,27,,flurmbo,False,,27,
microsoft/vscode,jmbockhorst,,27,,jmbockhorst,False,,27,
microsoft/vscode,bamurtaugh,,27,,bamurtaugh,False,,27,
microsoft/vscode,hsfzxjy,,27,,hsfzxjy,False,,27,
microsoft/vscode,federicobrancasi,,27,,federicobrancasi,False,,27,
microsoft/vscode,tanhakabir,,26,,tanhakabir,False,,26,
microsoft/vscode,kamranayub,,26,,kamranayub,False,,26,
microsoft/vscode,rehmsen,,25,,rehmsen,False,,25,
microsoft/vscode,RedCMD,,25,,RedCMD,False,,25,
microsoft/vscode,tisilent,,25,,tisilent,False,,25,
microsoft/vscode,yogeshwaran-c,,24,,yogeshwaran-c,False,,24,
microsoft/vscode,remcohaszing,,24,,remcohaszing,False,,24,
microsoft/vscode,gabritto,,24,,gabritto,False,,24,
microsoft/vscode,hwhung0111,,22,,hwhung0111,False,,22,
microsoft/vscode,yuehuang010,,22,,yuehuang010,False,,22,
microsoft/vscode,pprice,,22,,pprice,False,,22,
microsoft/vscode,rwe,,22,,rwe,False,,22,
microsoft/vscode,r3m0t,,22,,r3m0t,False,,22,
microsoft/vscode,tony-xia,,22,,tony-xia,False,,22,
microsoft/vscode,pkoushik0,,22,,pkoushik0,False,,22,
microsoft/vscode,katainaka0503,,21,,katainaka0503,False,,21,
microsoft/vscode,etriebe,,21,,etriebe,False,,21,
microsoft/vscode,chrispat,,21,,chrispat,False,,21,
microsoft/vscode,ChayimFriedman2,,21,,ChayimFriedman2,False,,21,
microsoft/vscode,brandontruggles,,21,,brandontruggles,False,,21,
microsoft/vscode,MeghanKulkarni,,20,,MeghanKulkarni,False,,20,
microsoft/vscode,cobey,,20,,cobey,False,,20,
microsoft/vscode,SrTobi,,20,,SrTobi,False,,20,
microsoft/vscode,shobhitchittora,,19,,shobhitchittora,False,,19,
microsoft/vscode,IllusionMH,,19,,IllusionMH,False,,19,
microsoft/vscode,guomaggie,,19,,guomaggie,False,,19,
microsoft/vscode,felixfbecker,,18,,felixfbecker,False,,18,
microsoft/vscode,CGNonofr,,18,,CGNonofr,False,,18,
microsoft/vscode,vikramnitin9,,18,,vikramnitin9,False,,18,
microsoft/vscode,NriotHrreion,,18,,NriotHrreion,False,,18,
microsoft/vscode,leilapearson,,17,,leilapearson,False,,17,
microsoft/vscode,qcz,,17,,qcz,False,,17,
microsoft/vscode,DanielRosenwasser,,17,,DanielRosenwasser,False,,17,
microsoft/vscode,DustinCampbell,,17,,DustinCampbell,False,,17,
microsoft/vscode,dineshc-msft,,17,,dineshc-msft,False,,17,
microsoft/vscode,aashna,,17,,aashna,False,,17,
microsoft/vscode,tmm1,,17,,tmm1,False,,17,
microsoft/vscode,zardoy,,16,,zardoy,False,,16,
microsoft/vscode,shskwmt,,16,,shskwmt,False,,16,
microsoft/vscode,f111fei,,16,,f111fei,False,,16,
microsoft/vscode,MonadChains,,16,,MonadChains,False,,16,
microsoft/vscode,marrej,,16,,marrej,False,,16,
microsoft/vscode,IanMatthewHuff,,16,,IanMatthewHuff,False,,16,
microsoft/vscode,nicksnyder,,16,,nicksnyder,False,,16,
microsoft/vscode,mrmlnc,,16,,mrmlnc,False,,16,
microsoft/vscode,9at8,,16,,9at8,False,,16,
microsoft/vscode,be5invis,,15,,be5invis,False,,15,
microsoft/vscode,yavanosta,,15,,yavanosta,False,,15,
microsoft/vscode,hughlilly,,15,,hughlilly,False,,15,
microsoft/vscode,zgracem,,14,,zgracem,False,,14,
microsoft/vscode,SnirBroshi,,14,,SnirBroshi,False,,14,
microsoft/vscode,wade-ryan,,14,,wade-ryan,False,,14,
microsoft/vscode,PathToLife,,14,,PathToLife,False,,14,
microsoft/vscode,marvinruder,,14,,marvinruder,False,,14,
microsoft/vscode,OneThatWalks,,14,,OneThatWalks,False,,14,
microsoft/vscode,jjaeggli,,14,,jjaeggli,False,,14,
microsoft/vscode,BABA983,,14,,BABA983,False,,14,
microsoft/vscode,noellelc,,13,,noellelc,False,,13,
microsoft/vscode,chenjigeng,,13,,chenjigeng,False,,13,
microsoft/vscode,nikdmello,,13,,nikdmello,False,,13,
microsoft/vscode,kisstkondoros,,13,,kisstkondoros,False,,13,
microsoft/vscode,gushuro,,13,,gushuro,False,,13,
microsoft/vscode,baileyherbert,,13,,baileyherbert,False,,13,
microsoft/vscode,dlech,,13,,dlech,False,,13,
microsoft/vscode,joelverhagen,,13,,joelverhagen,False,,13,
microsoft/vscode,kevin-m-kent,,13,,kevin-m-kent,False,,13,
microsoft/vscode,roottool,,13,,roottool,False,,13,
microsoft/vscode,aslezar,,12,,aslezar,False,,12,
microsoft/vscode,andrewitsover,,12,,andrewitsover,False,,12,
microsoft/vscode,dalongi,,12,,dalongi,False,,12,
microsoft/vscode,eltociear,,12,,eltociear,False,,12,
microsoft/vscode,svipas,,12,,svipas,False,,12,
microsoft/vscode,nojaf,,12,,nojaf,False,,12,
microsoft/vscode,jakebailey,,12,,jakebailey,False,,12,
microsoft/vscode,flexiondotorg,,12,,flexiondotorg,False,,12,
microsoft/vscode,maruthang,,12,,maruthang,False,,12,
microsoft/vscode,oriash93,,12,,oriash93,False,,12,
microsoft/vscode,segevfiner,,12,,segevfiner,False,,12,
microsoft/vscode,turara,,12,,turara,False,,12,
microsoft/vscode,xingsy97,,12,,xingsy97,False,,12,
microsoft/vscode,cristianhosu,,12,,cristianhosu,False,,12,
microsoft/vscode,vsajan,,11,,vsajan,False,,11,
microsoft/vscode,suzmue,,11,,suzmue,False,,11,
microsoft/vscode,prashantvc,,11,,prashantvc,False,,11,
microsoft/vscode,plainerman,,11,,plainerman,False,,11,
microsoft/vscode,wraiford,,11,,wraiford,False,,11,
microsoft/vscode,dsanders11,,11,,dsanders11,False,,11,
microsoft/vscode,dtivel,,11,,dtivel,False,,11,
microsoft/vscode,petevdp,,11,,petevdp,False,,11,
microsoft/vscode,jzyrobert,,11,,jzyrobert,False,,11,
microsoft/vscode,Charles-Gagnon,,11,,Charles-Gagnon,False,,11,
microsoft/vscode,Timmmm,,11,,Timmmm,False,,11,
microsoft/vscode,danielfrankcom,,10,,danielfrankcom,False,,10,
microsoft/vscode,gangachris,,10,,gangachris,False,,10,
microsoft/vscode,neeleshb,,10,,neeleshb,False,,10,
microsoft/vscode,laphets,,10,,laphets,False,,10,
microsoft/vscode,ChrisPapp,,10,,ChrisPapp,False,,10,
microsoft/vscode,yshaojun,,10,,yshaojun,False,,10,
microsoft/vscode,susiwen8,,10,,susiwen8,False,,10,
microsoft/vscode,irrationalRock,,10,,irrationalRock,False,,10,
microsoft/vscode,AbdelrahmanAbouelenin,,10,,AbdelrahmanAbouelenin,False,,10,
microsoft/vscode,smcenlly,,10,,smcenlly,False,,10,
microsoft/vscode,rudi-c,,10,,rudi-c,False,,10,
microsoft/vscode,robertrossmann,,10,,robertrossmann,False,,10,
microsoft/vscode,manjrekarom,,10,,manjrekarom,False,,10,
microsoft/vscode,njkevlani,,10,,njkevlani,False,,10,
microsoft/vscode,mkhuzaima,,10,,mkhuzaima,False,,10,
microsoft/vscode,lucas-gomes-santana,,10,,lucas-gomes-santana,False,,10,
microsoft/vscode,guywaldman,,10,,guywaldman,False,,10,
microsoft/vscode,mjcrouch,,9,,mjcrouch,False,,9,
microsoft/vscode,jordanmkasla2009,,9,,jordanmkasla2009,False,,9,
microsoft/vscode,pingren,,9,,pingren,False,,9,
microsoft/vscode,RishabhKothaari,,9,,RishabhKothaari,False,,9,
microsoft/vscode,HaoboGu,,9,,HaoboGu,False,,9,
microsoft/vscode,auchenberg,,9,,auchenberg,False,,9,
microsoft/vscode,literalplus,,9,,literalplus,False,,9,
microsoft/vscode,mymikemiller,,9,,mymikemiller,False,,9,
microsoft/vscode,RajeshKumar11,,9,,RajeshKumar11,False,,9,
microsoft/vscode,ryu1kn,,9,,ryu1kn,False,,9,
microsoft/vscode,notoriousmango,,9,,notoriousmango,False,,9,
microsoft/vscode,YisraelV,,9,,YisraelV,False,,9,
microsoft/vscode,initialshl,,9,,initialshl,False,,9,
microsoft/vscode,hirehamir,,9,,hirehamir,False,,9,
microsoft/vscode,GustavoASC,,9,,GustavoASC,False,,9,
microsoft/vscode,dgozman,,9,,dgozman,False,,9,
microsoft/vscode,BuraChuhadar,,9,,BuraChuhadar,False,,9,
microsoft/vscode,devinvalenciano,,9,,devinvalenciano,False,,9,
microsoft/vscode,eronnen,,8,,eronnen,False,,8,
microsoft/vscode,Wscats,,8,,Wscats,False,,8,
microsoft/vscode,gyzerok,,8,,gyzerok,False,,8,
microsoft/vscode,gayanper,,8,,gayanper,False,,8,
microsoft/vscode,hermannloose,,8,,hermannloose,False,,8,
microsoft/vscode,ChaseKnowlden,,8,,ChaseKnowlden,False,,8,
microsoft/vscode,iliazeus,,8,,iliazeus,False,,8,
microsoft/vscode,whistlegraph,,8,,whistlegraph,False,,8,
microsoft/vscode,thegecko,,8,,thegecko,False,,8,
microsoft/vscode,jasongin,,8,,jasongin,False,,8,
microsoft/vscode,nrayburn-tech,,8,,nrayburn-tech,False,,8,
microsoft/vscode,icfjoeld,,8,,icfjoeld,False,,8,
microsoft/vscode,JeffreyCA,,8,,JeffreyCA,False,,8,
microsoft/vscode,ctmayn,,8,,ctmayn,False,,8,
microsoft/vscode,lifez,,8,,lifez,False,,8,
microsoft/vscode,pouyakary,,8,,pouyakary,False,,8,
microsoft/vscode,go2sh,,8,,go2sh,False,,8,
microsoft/vscode,sandeep-sen,,8,,sandeep-sen,False,,8,
microsoft/vscode,golf1052,,8,,golf1052,False,,8,
microsoft/vscode,torn4dom4n,,8,,torn4dom4n,False,,8,
microsoft/vscode,ArtemGovorov,,8,,ArtemGovorov,False,,8,
microsoft/vscode,toumorokoshi,,8,,toumorokoshi,False,,8,
microsoft/vscode,adrianstephens,,8,,adrianstephens,False,,8,
microsoft/vscode,abadawi591,,8,,abadawi591,False,,8,
microsoft/vscode,hickford,,8,,hickford,False,,8,
microsoft/vscode,LuanVSO,,8,,LuanVSO,False,,8,
microsoft/vscode,jswillard,,8,,jswillard,False,,8,
microsoft/vscode,wistcc,,8,,wistcc,False,,8,
microsoft/vscode,alanrenmsft,,7,,alanrenmsft,False,,7,
microsoft/vscode,aldonetti,,7,,aldonetti,False,,7,
microsoft/vscode,AlexStrNik,,7,,AlexStrNik,False,,7,
microsoft/vscode,amaust,,7,,amaust,False,,7,
microsoft/vscode,jacekkopecky,,7,,jacekkopecky,False,,7,
microsoft/vscode,connorskees,,7,,connorskees,False,,7,
microsoft/vscode,anki-code,,7,,anki-code,False,,7,
microsoft/vscode,DiamondYuan,,7,,DiamondYuan,False,,7,
microsoft/vscode,yemohyleyemohyle,,7,,yemohyleyemohyle,False,,7,
microsoft/vscode,mkenigs,,7,,mkenigs,False,,7,
microsoft/vscode,schen7913,,7,,schen7913,False,,7,
microsoft/vscode,laurentlb,,7,,laurentlb,False,,7,
microsoft/vscode,melvin0008,,7,,melvin0008,False,,7,
microsoft/vscode,murataslan1,,7,,murataslan1,False,,7,
microsoft/vscode,jeffreyhunter77,,7,,jeffreyhunter77,False,,7,
microsoft/vscode,richard-townsend-arm,,7,,richard-townsend-arm,False,,7,
microsoft/vscode,jasonwilliams,,7,,jasonwilliams,False,,7,
microsoft/vscode,ryanclarke,,7,,ryanclarke,False,,7,
microsoft/vscode,spahnke,,7,,spahnke,False,,7,
microsoft/vscode,Huachao,,7,,Huachao,False,,7,
microsoft/vscode,harbin1053020115,,7,,harbin1053020115,False,,7,
microsoft/vscode,Eskibear,,7,,Eskibear,False,,7,
microsoft/vscode,thernstig,,7,,thernstig,False,,7,
microsoft/vscode,svitlana-galianova,,7,,svitlana-galianova,False,,7,
microsoft/vscode,tbogoodnews,,6,,tbogoodnews,False,,6,
microsoft/vscode,bwateratmsft,,6,,bwateratmsft,False,,6,
microsoft/vscode,sana-ajani,,6,,sana-ajani,False,,6,
microsoft/vscode,rbuckton,,6,,rbuckton,False,,6,
microsoft/vscode,connorshea,,6,,connorshea,False,,6,
microsoft/vscode,r-sargento,,6,,r-sargento,False,,6,
microsoft/vscode,anirudhrb,,6,,anirudhrb,False,,6,
microsoft/vscode,orgads,,6,,orgads,False,,6,
microsoft/vscode,mihailik,,6,,mihailik,False,,6,
microsoft/vscode,adaex,,6,,adaex,False,,6,
microsoft/vscode,nclonts-sf,,6,,nclonts-sf,False,,6,
microsoft/vscode,MarkZuber,,6,,MarkZuber,False,,6,
microsoft/vscode,mlewand,,6,,mlewand,False,,6,
microsoft/vscode,letmaik,,6,,letmaik,False,,6,
microsoft/vscode,lmvco,,6,,lmvco,False,,6,
microsoft/vscode,Balastrong,,6,,Balastrong,False,,6,
microsoft/vscode,KapitanOczywisty,,6,,KapitanOczywisty,False,,6,
microsoft/vscode,kkbrooks,,6,,kkbrooks,False,,6,
microsoft/vscode,Kaidesuyoo,,6,,Kaidesuyoo,False,,6,
microsoft/vscode,joelday,,6,,joelday,False,,6,
microsoft/vscode,jchadwick,,6,,jchadwick,False,,6,
microsoft/vscode,w9jds,,6,,w9jds,False,,6,
microsoft/vscode,WardenGnaw,,6,,WardenGnaw,False,,6,
microsoft/vscode,ivorlags,,6,,ivorlags,False,,6,
microsoft/vscode,ihalip,,6,,ihalip,False,,6,
microsoft/vscode,weartist,,6,,weartist,False,,6,
microsoft/vscode,haneefdm,,6,,haneefdm,False,,6,
microsoft/vscode,devm33,,6,,devm33,False,,6,
microsoft/vscode,djweber,,6,,djweber,False,,6,
microsoft/vscode,DavidMunozMartinez,,6,,DavidMunozMartinez,False,,6,
microsoft/vscode,dan-petty,,6,,dan-petty,False,,6,
